id,title,base_path,parent_base_path
02895c91-447f-4699-966d-49c13527686f,GOV.UK homepage,/,""
2f79ba63-6e14-4c7e-8b30-e594051d456d,Work,/work,/
a2d298d5-4126-44dc-94a3-70ed3acf6449,Environment,/environment,/
988f3097-316f-4941-b8fa-1801b5249ba4,Money,/money,/
7a1cec19-da3a-40e9-a7cd-0db9b64f86e4,Entering and staying in the UK,/entering-staying-uk,/
a0e7a8af-4752-405f-a163-cd7be5ea4e39,Regional and local government,/regional-and-local-government,/
aa3bf57b-6931-4013-b127-bf477bd08306,Defence and armed forces,/defence-and-armed-forces,/
fea8592c-181c-4fc7-b7e4-b66044cd5b26,International,/international,/
8b69b668-1efe-4200-a8b7-43065cccd4ef,Health and social care,/health-and-social-care,/
563b970f-bb65-4e53-aea5-db521495543a,"Education, training and skills",/education,/
002cd26d-ed53-42d7-9581-f88fe23b0951,"Parenting, childcare and children's services ",/childcare-parenting,/
32bacfc2-691e-40a2-b18d-94f027c1a79c,Going and being abroad,/going-and-being-abroad,/
05a623ad-8549-4b1b-81c6-8ef1fa4b9f4f,"Crime, justice and law",/crime-justice-and-law,/
3766197a-b7fc-47e1-aa37-8ce6f6a5d6f5,Welfare,/welfare,/
19adde55-7620-4f89-b0c3-2c07684c107a,Transport,/transport,/
55bf13ce-e3ae-4c00-8119-828785dbb474,Government,/government/all,/
e7ccab0d-f7ac-48a0-8319-f8cff35d4d3f,Corporate information,/corporate-information,/
4182488b-16fd-4de6-92e8-6dbe1949aee0,Life circumstances,/life-circumstances,/
8aae5115-bbf5-4083-876f-cf37fbf0ed95,Society and culture,/society-and-culture,/
3edd6ee8-ee23-4647-96ae-82480d4f659a,"Housing, local and community",/housing-local-and-community,/
db8e73d2-bb26-42ad-80f0-9c51227de47b,Business and industry,/business-and-industry,/
0bedd351-cc6e-4a5b-bdae-02592ba3a9fe,Income Tax,/money/income-tax,/money/personal-tax
51796db2-364c-415e-a760-4b014942d16a,Personal tax,/money/personal-tax,/money
76b10e69-41fc-4b9f-974b-4fbd60a5bc20,Consumer rights and issues,/business-and-industry/consumer-rights-and-issues,/business-and-industry/business-regulation
c269e490-b5d0-42ca-afbe-234256378cb9,Current UK sanctions regimes,/international/current-uk-sanctions-regimes,/international
5046206e-82b0-4b18-88bc-3b2799087654,Charities and social enterprises,/business-and-industry/charities-and-social-enterprises,/business-and-industry
4553d45e-7afc-4f13-ae14-b5070e78e3fd,UK economic growth,/business/uk-economic-growth,/business-and-industry/uk-economy
a014f276-c762-4b80-bb28-647496216c47,Patient safety,/health-and-social-care/patient-safety,/health-and-social-care/national-health-service
456cf60b-e441-4a5c-815b-2d7b32dd6207,EU and international driving rules,/transport/eu-and-international-driving-rules,/transport/professional-driving-of-lorries-buses-and-coaches
a9ea8db2-ccbc-401d-8866-e61ec1478af0,Self Assessment,/employment/business-tax-self-employed-self-assessment,/employment/self-employed
0e581ae5-506c-489e-b4c4-0618a1fff795,Industrial strategy,/business-and-industry/industrial-strategy,/business-and-industry
a8ed85ca-756a-4e19-9f80-da461f23b62b,Financial services,/business-and-industry/financial-services,/business-and-industry
c174b13a-f80b-448d-995a-f7cef612d7dd,Fishing quota and catch limits ,/environment/fishing-quota-and-catch-limits,/environment/fishing-regulations-monitoring-enforcement
0a1dd01a-9142-487f-b6a1-59a536e47848,Human rights internationally,/international/human-rights-internationally,/international
ffae6520-785b-4423-b865-033e36b3f4f2,Northern Ireland security,/regional-and-local-government/northern-ireland-security,/regional-and-local-government/northern-ireland
8ce3300f-8e6e-4c72-9344-f9361ad13400,Competition Act and cartels,/business/competition-competition-act-cartels,/business/competition
fa308455-670c-49b0-aaa7-241190a6f5b8,Mergers,/business/competition-mergers,/business/competition
b480f121-3c8b-4670-8829-1673f3066f40,Energy efficiency,/environment/climate-change-energy-energy-efficiency,/environment/climate-change-energy
1a01d0cc-d7ea-4c62-bbfa-333da6fa4738,"Courts, sentencing and tribunals",/crime-justice-and-law/courts-sentencing-tribunals,/crime-justice-and-law
dc46156d-48c5-4109-89a2-846094cec673,Violence against women and girls,/crime-justice-and-law/violence-against-women-and-girls,/crime-justice-and-law
a8d8b251-ad22-4e4c-bb56-e7b0432f8a90,Providing childcare,/childcare-parenting/providing-childcare,/childcare-parenting/childcare-and-early-years
dd64fdb0-209e-4b46-866d-dc5a196d6e23,"Divorce, separation and legal issues",/childcare-parenting/divorce-separation-and-legal-issues,/childcare-parenting
f2f6aa0a-d5c3-4ac2-a127-614f0702af4a,Planning permission and appeals,/housing-local-and-community/planning-permission-appeals,/housing-local-and-community/planning-and-building
bbb3df2c-1b75-4afb-bc10-24e903c00d51,Rules for specific goods and services,/business/business-tax-import-export-rules-for-specific-goods-and-services,/business-and-industry/customs-declarations-duties-tariffs
aa901277-4a5a-4a04-92c6-11a043b8a03a,Customs Freight Simplified Procedures,/business/business-tax-import-export-customs-freight-simplified-procedures,/business-and-industry/customs-declarations-duties-tariffs
60fc3ed4-eb2a-49e0-bc7d-003a7dd50c17,Childcare and early years,/childcare-parenting/childcare-and-early-years,/childcare-parenting
bb0b5d75-3bcb-49ba-8dbe-4187b98df4f6,Access to financial services,/business/access-to-financial-services,/business-and-industry/financial-services
1ae6600b-b651-42d9-ad8e-23888c64c796,Getting married ,/life-circumstances/births-deaths-marriages-marriage-divorce-getting-married,/life-circumstances/marriage-divorce
b8f7e9bb-772f-4bc9-8c7e-1fc004a9abdb,"Equality, rights and citizenship",/society-and-culture/equality-rights-and-citizenship,/society-and-culture
30e19d34-cc21-4441-8f2f-093095730931,Freshwater fisheries,/environment/freshwater-fisheries,/environment/fishing-fisheries-and-vessels
c99c369c-83b4-49b3-8c14-6934c11eb2ae,Travel abroad,/going-and-being-abroad/travel-abroad,/going-and-being-abroad
f054b365-23f8-484d-9592-4d5dea604138,Cancer research and treatment,/health-and-social-care/cancer-research-and-treatment,/health-and-social-care/health-conditions
f1be8a77-8a3e-4bd0-b8a8-311b3658289c,Starting and attending school,/education/starting-and-attending-school,/education
57891a17-e26e-4e2d-9c30-4f3aead67aa4,Environmental permits,/environment/environmental-permits,/environment
aa955c8d-f591-4531-b033-f8a96631e49c,Self-employment,/employment/self-employed,/work
c06bd8b4-8c50-4c7b-ba32-3db9c470c70c,Tax agent and adviser guidance,/money/tax-agent-guidance,/money/dealing-with-hmrc
58c4589e-c187-4a96-8807-c18072b46236,Dealing with problems at school,/education/dealing-with-problems-at-school,/education/starting-and-attending-school
e3a23744-c3f8-4a68-9960-aefce0c189f4,"Refugees, asylum and human rights",/entering-staying-uk/refugees-asylum-human-rights,/entering-staying-uk
5c7034d8-3796-4dd1-b6b8-040360fb6829,"UK prosperity and security: Asia, Latin America and Africa",/international/uk-prosperity-and-security-asia-latin-america-and-africa,/international
838146df-6f37-4b33-8344-1ef4ed603c27,Northern Ireland community relations,/regional-and-local-government/northern-ireland-community-relations,/regional-and-local-government/northern-ireland
09d3427e-b609-4b37-a9ae-75a86061e64c,Alcohol licensing ,/business-and-industry/alcohol-sales,/business-and-industry/business-licensing
70d583fa-0d26-4c69-9104-4f3fa2e5c6b2,Business debt and bankruptcy,/business-and-industry/business-debt-and-bankruptcy,/business-and-industry/running-a-business
3a9aaf5a-71f0-4c10-8f1c-f7204fb1f42f,Licences and special rules,/business-and-industry/business-exports-licences-and-special-rules,/business-and-industry/exporting
ecf2842c-9867-4832-a543-cbd6bb602441,Community interest companies,/business-and-industry/community-interest-companies,/business-and-industry/charities-and-social-enterprises
33dbf2f2-fa97-426d-ad8c-f122ce45bff8,"Company closure, administration, liquidation and insolvency ",/business-and-industry/company-closure-administration-liquidation-and-insolvency,/business-and-industry/limited-companies-and-partnerships
34cf345a-376f-4e21-9943-83e34fe3924f,Company names,/business-and-industry/company-names,/business-and-industry/limited-companies-and-partnerships
f07a8140-bdbd-413e-ab29-c674d4ff86cd,Overseas companies and European companies,/business-and-industry/company-registration-filing-running-company-overseas-companies-and-european-companies,/business-and-industry/limited-companies-and-partnerships
d05664e3-a36e-49f7-9816-da3705744bc8,Partnerships,/business-and-industry/company-registration-filing-running-company-partnerships,/business-and-industry/limited-companies-and-partnerships
6dd72aee-6f0a-47ab-9241-ce2437b17050,Digital trade,/business-and-industry/digital-trade,/business-and-industry/trade-and-investment
5be96f74-1b8d-4849-b4f6-c970508c6e39,Directorship disqualification,/business-and-industry/directorship-disqualification,/business-and-industry/limited-companies-and-partnerships
ca96e6ea-47a1-41d1-8abb-f47e744fe533,Dismissing staff and redundancies,/business-and-industry/dismissals-redundancies,/business-and-industry/employing-people
6b1dfdae-cca4-45e2-8ae3-45a3a1e58985,Employing people,/business-and-industry/employing-people,/business-and-industry/running-a-business
2e7979c0-ca92-4525-bed5-eb1f4bb432fa,Energy demand reduction,/business-and-industry/energy-demand-reduction-in-industry-business-and-the-public-sector,/business-and-industry/business-and-the-environment
a879e9d3-edfa-4fa0-bc96-510387d1e346,Inward investment,/business-and-industry/inward-investment,/business-and-industry/trade-and-investment
a6d8ecda-7223-4844-bd0d-d57ea5db4076,Limited companies and partnerships,/business-and-industry/limited-companies-and-partnerships,/business-and-industry/running-a-business
391f36b7-7f7a-41ea-be62-1a7fa1d2129e,Media and creative industries,/business-and-industry/media-and-creative-industries,/business-and-industry/media-and-communications
60523578-d302-4ab7-abdb-f76186940f98,Outward investment,/business-and-industry/outward-investment,/business-and-industry/trade-and-investment
6bdcc233-d8bb-4492-8c7c-7d5a94f35881,Payroll,/business-and-industry/payroll,/business-and-industry/employing-people
37249fae-71c5-46ce-8303-24b3f4b97009,Regional growth fund,/business-and-industry/regional-growth-fund,/business-and-industry/uk-economy
a506db69-3c32-4a18-9d21-8e281783c003,Running a business,/business-and-industry/running-a-business,/business-and-industry
1a96cd00-0740-42f2-8b5c-91b784b08fec,Fundraising,/business-and-industry/running-charity-fundraising,/business-and-industry/charities-and-social-enterprises
9f476468-7220-44e6-844a-0276fbe4cc7e,Research and development,/business-and-industry/research-and-development,/business-and-industry/science-and-innovation
a678501c-3709-42e8-8eaf-de08d08310af,Trustee role and board,/business-and-industry/running-charity-trustee-role-board,/business-and-industry/charities-and-social-enterprises
95016e85-4482-4fe2-9ee3-293dd096530e,Sale of goods and services and data protection,/business-and-industry/sale-goods-services-data,/business-and-industry/business-regulation
c1cc0786-e9ea-4c67-bca6-42333a1616eb,Space,/business-and-industry/space,/business-and-industry/science-and-innovation
1084687f-097f-451d-84bb-575c808df822,State aid,/business-and-industry/state-aid,/business-and-industry/business-regulation
c21bf946-fced-435f-9279-cbb43ab6ab49,Trade barriers,/business-and-industry/trade-barriers,/business-and-industry/trade-and-investment
350e2de1-c47d-4ed8-a7c4-7e5c3fc7925c,Early years curriculum (0 to 5),/childcare-parenting/Early-years-curriculum-0-to-5,/childcare-parenting/providing-childcare
1506121f-15fc-493b-812d-6f2f5b8785cf,Data collection for safeguarding and child protection,/childcare-parenting/data-collection-safeguarding-child-protection,/childcare-parenting/safeguarding-child-protection
3c9cec43-2f45-45e5-ae9b-fbe215dbb7c5,Child abduction and cross-border child protection,/childcare-parenting/child-abduction-cross-border-child-protection,/childcare-parenting/safeguarding-child-protection
7d029ad3-fa5d-4804-8ee3-8fe44999698a,Becoming a children's social care provider,/childcare-parenting/becoming-a-childrens-social-care-provider,/childcare-parenting/childrens-social-care-providers
bf334849-f592-4d3d-b6e5-250363db6895,"Adoption, fostering and surrogacy",/childcare-parenting/adoption-fostering-and-surrogacy,/childcare-parenting
db0a9b6a-4e3c-4e84-99d6-e3d558e185a6,Data collection for early years and childcare,/childcare-parenting/data-collection-for-early-years-and-childcare,/childcare-parenting/childcare-and-early-years
8b889b4e-26a9-45fa-aeab-c00ca094049d,Child benefit,/childcare-parenting/child-benefit,/childcare-parenting/financial-help-if-you-have-children
5860cb32-ac80-4b66-a466-36e24f14809d,Child custody,/childcare-parenting/child-custody,/childcare-parenting/divorce-separation-and-legal-issues
